"id","prediction"
3,"4"
6,"4"
9,"4"
11,"2"
12,"4"
14,"2"
15,"4"
16,"4"
18,"4"
19,"4"
21,"2"
22,"3"
23,"4"
24,"4"
25,"2"
26,"2"
27,"1"
29,"4"
30,"4"
33,"4"
34,"4"
36,"2"
37,"4"
38,"2"
39,"4"
40,"4"
41,"4"
42,"2"
43,"2"
44,"4"
45,"4"
47,"4"
48,"1"
49,"1"
50,"1"
51,"2"
53,"2"
55,"4"
57,"4"
60,"4"
61,"2"
62,"2"
67,"4"
68,"1"
69,"4"
70,"4"
75,"4"
76,"4"
77,"3"
78,"2"
79,"2"
81,"2"
82,"4"
84,"4"
85,"4"
86,"3"
87,"4"
92,"4"
93,"1"
95,"4"
96,"1"
97,"4"
99,"4"
100,"2"
101,"4"
102,"4"
104,"1"
106,"3"
107,"4"
111,"1"
114,"2"
116,"4"
117,"4"
118,"2"
120,"4"
121,"2"
123,"4"
125,"4"
127,"2"
128,"1"
129,"4"
130,"4"
131,"1"
132,"2"
133,"4"
134,"4"
137,"4"
138,"4"
139,"2"
140,"4"
141,"4"
142,"4"
144,"4"
146,"1"
147,"4"
148,"2"
149,"2"
150,"4"
152,"2"
153,"2"
154,"2"
155,"4"
156,"4"
157,"2"
158,"4"
159,"2"
160,"3"
162,"4"
163,"4"
165,"3"
166,"4"
167,"2"
168,"4"
169,"1"
170,"4"
174,"4"
175,"2"
177,"4"
178,"2"
179,"4"
180,"4"
182,"1"
184,"2"
185,"4"
186,"4"
187,"1"
188,"4"
190,"4"
191,"4"
192,"2"
193,"2"
196,"2"
198,"4"
202,"2"
203,"4"
205,"4"
206,"2"
207,"4"
208,"4"
209,"4"
210,"2"
212,"4"
213,"4"
216,"2"
219,"4"
222,"4"
223,"2"
224,"4"
225,"2"
226,"2"
227,"1"
229,"4"
231,"3"
233,"3"
234,"4"
235,"2"
236,"4"
237,"4"
238,"4"
239,"4"
240,"4"
242,"2"
244,"4"
246,"2"
250,"2"
251,"3"
254,"2"
255,"1"
256,"3"
257,"4"
258,"4"
259,"4"
260,"4"
261,"4"
262,"2"
263,"3"
264,"1"
267,"4"
270,"4"
272,"4"
273,"4"
274,"2"
277,"4"
278,"4"
280,"4"
282,"2"
283,"2"
284,"4"
285,"4"
286,"4"
287,"4"
288,"4"
291,"3"
292,"4"
293,"4"
294,"2"
297,"4"
298,"2"
301,"4"
303,"4"
304,"4"
306,"4"
308,"1"
309,"4"
310,"2"
311,"4"
312,"3"
313,"4"
314,"4"
315,"4"
316,"1"
317,"3"
318,"2"
319,"4"
320,"4"
324,"2"
325,"1"
326,"4"
327,"4"
328,"4"
329,"2"
330,"4"
331,"2"
332,"4"
333,"2"
335,"4"
337,"4"
340,"4"
342,"2"
343,"4"
345,"4"
347,"3"
349,"1"
350,"3"
351,"4"
352,"4"
353,"4"
354,"4"
355,"3"
356,"2"
357,"2"
359,"4"
360,"4"
361,"4"
362,"4"
363,"3"
365,"2"
368,"4"
369,"4"
370,"4"
373,"4"
375,"4"
376,"4"
377,"4"
378,"4"
379,"4"
380,"1"
382,"4"
383,"2"
384,"3"
385,"4"
386,"2"
387,"1"
390,"4"
391,"1"
394,"4"
395,"3"
397,"3"
400,"4"
401,"4"
402,"4"
403,"2"
404,"2"
405,"2"
407,"4"
408,"4"
409,"4"
410,"4"
411,"4"
413,"4"
416,"4"
417,"4"
419,"4"
420,"1"
421,"4"
423,"3"
426,"4"
427,"4"
429,"4"
430,"4"
431,"4"
432,"4"
433,"4"
434,"4"
436,"4"
439,"2"
441,"3"
443,"4"
445,"1"
446,"2"
447,"4"
448,"2"
450,"4"
452,"3"
453,"2"
454,"1"
455,"4"
456,"2"
457,"4"
458,"4"
462,"4"
463,"3"
464,"4"
465,"4"
466,"4"
467,"1"
469,"4"
470,"4"
471,"4"
474,"4"
475,"4"
477,"4"
478,"1"
479,"2"
480,"2"
481,"1"
482,"4"
483,"1"
484,"4"
485,"4"
486,"2"
488,"4"
489,"4"
490,"2"
491,"4"
492,"2"
493,"4"
494,"2"
496,"4"
497,"4"
498,"4"
500,"4"
501,"2"
505,"4"
506,"2"
508,"4"
509,"4"
510,"4"
511,"4"
514,"4"
515,"4"
516,"1"
517,"4"
519,"4"
520,"4"
521,"3"
523,"4"
525,"4"
526,"4"
527,"2"
528,"2"
529,"4"
531,"4"
532,"4"
533,"2"
534,"4"
536,"1"
537,"3"
538,"2"
542,"2"
543,"2"
545,"4"
546,"4"
547,"3"
549,"2"
550,"4"
553,"4"
554,"4"
555,"2"
557,"2"
559,"1"
560,"4"
561,"4"
562,"4"
565,"4"
566,"4"
568,"4"
569,"4"
570,"2"
571,"3"
572,"4"
575,"4"
576,"4"
579,"4"
580,"4"
582,"4"
583,"1"
585,"4"
586,"4"
589,"4"
590,"4"
591,"2"
593,"4"
594,"3"
595,"4"
597,"4"
598,"4"
599,"2"
600,"3"
601,"1"
602,"4"
604,"4"
606,"2"
608,"4"
609,"2"
610,"1"
612,"2"
614,"4"
615,"4"
616,"4"
617,"1"
618,"2"
619,"4"
620,"4"
621,"4"
624,"4"
627,"4"
628,"2"
629,"4"
630,"4"
634,"4"
637,"2"
638,"4"
639,"4"
640,"4"
641,"2"
642,"4"
643,"4"
644,"2"
645,"4"
646,"3"
648,"1"
649,"4"
650,"2"
651,"4"
652,"4"
654,"4"
655,"4"
656,"4"
658,"1"
659,"4"
660,"2"
661,"1"
666,"4"
667,"4"
668,"4"
669,"4"
670,"4"
671,"2"
675,"2"
677,"3"
679,"3"
680,"4"
681,"4"
682,"4"
683,"4"
684,"3"
685,"4"
686,"2"
690,"2"
692,"4"
693,"4"
694,"4"
696,"2"
699,"4"
700,"4"
701,"4"
702,"4"
704,"1"
706,"4"
707,"4"
708,"4"
709,"4"
712,"4"
713,"2"
714,"2"
715,"4"
716,"4"
717,"4"
718,"3"
719,"1"
720,"1"
721,"4"
722,"2"
724,"4"
727,"4"
728,"2"
729,"4"
731,"4"
733,"2"
734,"4"
735,"4"
736,"1"
737,"4"
738,"4"
739,"1"
741,"4"
742,"4"
744,"4"
745,"2"
746,"4"
748,"2"
749,"3"
752,"4"
753,"2"
754,"2"
756,"4"
757,"2"
758,"2"
759,"2"
760,"4"
761,"4"
764,"3"
765,"4"
768,"4"
769,"4"
770,"4"
772,"4"
774,"4"
775,"4"
776,"2"
777,"1"
778,"2"
781,"4"
782,"1"
783,"1"
785,"4"
786,"4"
788,"2"
789,"2"
790,"4"
791,"1"
792,"4"
794,"4"
795,"2"
796,"4"
797,"3"
798,"1"
800,"2"
801,"4"
802,"4"
803,"4"
804,"4"
805,"4"
806,"3"
807,"1"
808,"1"
809,"4"
812,"1"
813,"1"
814,"4"
815,"4"
817,"4"
819,"1"
820,"2"
822,"4"
825,"2"
826,"4"
827,"2"
828,"2"
830,"2"
832,"4"
833,"4"
834,"4"
836,"2"
837,"4"
839,"2"
841,"4"
843,"4"
846,"4"
847,"2"
848,"3"
849,"3"
850,"1"
851,"4"
852,"4"
853,"4"
855,"4"
858,"4"
859,"4"
861,"4"
862,"4"
864,"4"
866,"1"
868,"4"
870,"4"
872,"2"
873,"2"
874,"4"
875,"1"
877,"3"
879,"3"
880,"4"
882,"4"
883,"4"
884,"4"
885,"4"
888,"2"
889,"4"
891,"3"
893,"4"
894,"4"
895,"4"
896,"1"
897,"2"
899,"4"
901,"1"
903,"4"
904,"2"
905,"2"
909,"2"
910,"4"
911,"4"
912,"1"
914,"4"
917,"4"
918,"4"
919,"2"
920,"4"
921,"4"
922,"4"
926,"4"
927,"4"
929,"4"
931,"4"
933,"4"
934,"4"
936,"3"
937,"4"
938,"2"
939,"4"
940,"4"
941,"2"
942,"4"
943,"4"
945,"3"
946,"2"
948,"4"
950,"2"
952,"4"
953,"4"
955,"2"
956,"2"
959,"4"
960,"2"
961,"4"
962,"2"
964,"4"
967,"4"
968,"4"
969,"2"
971,"4"
972,"4"
974,"4"
975,"3"
976,"4"
978,"4"
980,"2"
981,"2"
982,"2"
983,"4"
984,"4"
985,"4"
986,"2"
987,"1"
988,"4"
990,"4"
991,"1"
992,"2"
994,"2"
995,"4"
996,"4"
999,"2"
1000,"4"
1001,"2"
1002,"2"
1003,"4"
1005,"4"
1006,"4"
1007,"4"
1009,"4"
1010,"4"
1012,"2"
1013,"3"
1014,"2"
1015,"2"
1016,"2"
1018,"3"
1019,"4"
1020,"2"
1021,"2"
1022,"2"
1023,"4"
1024,"2"
1027,"2"
1028,"2"
1030,"4"
1031,"2"
1032,"4"
1033,"4"
1034,"4"
1036,"1"
1037,"1"
1038,"4"
1039,"4"
1040,"2"
1042,"1"
1043,"4"
1045,"2"
1046,"4"
1049,"4"
1050,"1"
1051,"4"
1052,"3"
1054,"4"
1055,"4"
1056,"4"
1058,"1"
1059,"2"
1062,"4"
1064,"2"
1065,"4"
1066,"4"
1067,"1"
1068,"4"
1069,"4"
1071,"4"
1074,"4"
1076,"4"
1077,"4"
1079,"2"
1080,"2"
1081,"4"
1082,"4"
1085,"3"
1086,"1"
1087,"4"
1089,"2"
1090,"4"
1091,"2"
1092,"4"
1093,"4"
1094,"3"
1095,"4"
1097,"4"
1098,"2"
1099,"4"
1100,"2"
1102,"1"
1103,"1"
1104,"3"
1106,"4"
1107,"4"
1108,"4"
1109,"4"
1110,"2"
